instruction,output
Give a technical explanation of what is the difference between autoregressive and diffusion generation? Explain with clear definitions.,"Autoregressive models (GPT) generate token by token left to right — exact likelihood but sequential and slow for long sequences. Diffusion models denoise from Gaussian noise in T steps — parallel denoising for images, better quality but typically requires many steps. Diffusion-based text generation (e.g., MDLM) is an active research area."
Please explain what is Mixture of Experts?,MoE replaces the dense FFN in each Transformer block with multiple expert FFNs and a sparse routing mechanism that activates only the top-k experts per token. Increases model capacity without proportional compute increase. Mixtral-8x7B uses MoE and outperforms LLaMA-2 70B with less compute.
"For a university exam, explain what is cross-attention? Be concise and precise.","Cross-attention allows the decoder to attend over encoder representations. Q comes from the decoder, K and V come from the encoder. This enables the decoder to look up relevant parts of the encoded input, fundamental in seq2seq tasks like translation."
Can you explain what is the difference between RAG and fine-tuning? Include relevant equations or pseudocode if helpful.,"RAG retrieves external knowledge at inference without changing weights — ideal for frequently updated facts, private documents, and reducing hallucination. Fine-tuning updates weights on domain data — ideal for style, format, and behavioral changes. RAG has higher inference latency; fine-tuning has higher training cost. They are complementary: fine-tune for format, use RAG for facts."
What is learning rate warm-up? Provide a detailed answer.,Learning rate warm-up gradually increases the LR from near-zero to the target LR over the first few steps. Prevents instability early in training. Common schedules: linear warm-up followed by cosine decay. Warmup of 5-10% of total steps is standard for LLM fine-tuning.
Define the following: what is LoRA? Be concise and precise.,"LoRA (Hu et al., 2021) injects trainable low-rank matrices into frozen weight matrices. For W in R^(d x k), LoRA adds delta_W = BA where B is R^(d x r), A is R^(r x k), r much less than min(d,k). The forward pass computes h = Wx + BAx. Only A and B are trained. r=16 with alpha=32 is a common choice."
Briefly describe how does a generative model differ from a discriminative model? Include relevant equations or pseudocode if helpful.,"Discriminative models learn P(y|x)—mapping inputs to labels. Generative models learn the full data distribution P(x) or joint P(x,y), allowing them to sample new examples. Generative models can do more (synthesis, density estimation) but are harder to train."
"In simple terms, what is what is the difference between RAG and fine-tuning? Give examples where relevant.","RAG retrieves external knowledge at inference without changing weights — ideal for frequently updated facts, private documents, and reducing hallucination. Fine-tuning updates weights on domain data — ideal for style, format, and behavioral changes. RAG has higher inference latency; fine-tuning has higher training cost. They are complementary: fine-tune for format, use RAG for facts."
"For a university exam, explain what is RLHF?","RLHF (Ziegler et al., 2019) aligns LLMs with human preferences in three stages: (1) SFT on human-written demonstrations; (2) Reward Model trained on preference pairs; (3) RL optimization (PPO) of the SFT model against the reward model with a KL penalty to prevent reward hacking. Used in InstructGPT and ChatGPT."
I need help understanding what is the forward and reverse process in diffusion models? Be concise and precise.,"Forward: q(x_t|x_{t-1}) = N(x_t; sqrt(1-beta_t)*x_{t-1}, beta_t*I) adds Gaussian noise at each step. Reverse: learned p_theta(x_{t-1}|x_t) denoises step by step. The network predicts the noise epsilon_theta(x_t, t) and the loss is MSE between predicted and actual noise."
I need help understanding what is a language model?,"A language model assigns probabilities to sequences of tokens: P(w_1, w_2, ..., w_n). Modern neural language models are trained via next-token prediction: P(w_t | w_1, ..., w_{t-1}). They can generate text by sampling from the learned distribution. LLMs are very large language models trained on internet-scale data."
"In simple terms, what is what is DPO?","DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
What are evaluation metrics for GANs? Provide a detailed answer.,FID (Frechet Inception Distance) computes Frechet distance between real and generated feature distributions in Inception space — lower is better. IS (Inception Score) measures quality and diversity. Precision/Recall for generative models decomposes IS into quality (precision) and diversity (recall).
Give a technical explanation of what is DPO? Be concise and precise.,"DPO (Direct Preference Optimization, Rafailov et al., 2023) is an RL-free alternative to RLHF. It derives a closed-form optimal policy from the reward model, converting preference learning into a supervised classification objective on (preferred, rejected) pairs. Simpler and more stable than PPO-RLHF."
Please describe what is Ollama? Provide a detailed answer.,"Ollama is a tool for running LLMs locally on consumer hardware. Supports quantized GGUF versions of LLaMA-3, Mistral, Gemma, and Phi models. Provides an OpenAI-compatible API. Useful for privacy-sensitive or offline use cases."
Please describe what is the feed-forward sublayer in a Transformer? Include relevant equations or pseudocode if helpful.,"The position-wise FFN applies two linear layers with a non-linearity: FFN(x) = max(0, xW_1 + b_1)W_2 + b_2. Typically d_ff = 4 * d_model. Some models use SwiGLU or GEGLU activations. The FFN operates independently on each position and is responsible for memorizing factual knowledge."
Briefly describe what is tokenization? Provide a detailed answer.,"Tokenization converts raw text into a sequence of integer IDs. Modern LLMs use subword tokenization: BPE (Byte-Pair Encoding, used in GPT), WordPiece (BERT), or SentencePiece (LLaMA). Subword methods balance vocabulary size with the ability to represent rare words by splitting them into common subword units."
Define the following: what is the Tree of Thoughts framework?,"Tree of Thoughts (Yao et al., 2023) frames problem solving as a search over a tree of coherent text chunks. The model generates multiple thoughts at each node, evaluates their promise, and applies BFS or DFS to navigate the tree. Dramatically outperforms CoT on tasks requiring exploration and backtracking."
Please explain what is the difference between RAG and fine-tuning? Include relevant equations or pseudocode if helpful.,"RAG retrieves external knowledge at inference without changing weights — ideal for frequently updated facts, private documents, and reducing hallucination. Fine-tuning updates weights on domain data — ideal for style, format, and behavioral changes. RAG has higher inference latency; fine-tuning has higher training cost. They are complementary: fine-tune for format, use RAG for facts."
"As an AI student, explain what is the Tree of Thoughts framework?","Tree of Thoughts (Yao et al., 2023) frames problem solving as a search over a tree of coherent text chunks. The model generates multiple thoughts at each node, evaluates their promise, and applies BFS or DFS to navigate the tree. Dramatically outperforms CoT on tasks requiring exploration and backtracking."
Define the following: what is catastrophic forgetting in fine-tuning? Be concise and precise.,"When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
What is in-context learning? Include relevant equations or pseudocode if helpful.,In-context learning (ICL) is the ability of LLMs to perform new tasks from examples given in the prompt without weight updates. The model learns from the context at inference time. Performance scales with model size. Understanding of why ICL works is an active research area — hypotheses include implicit gradient descent and Bayesian inference.
What is self-consistency prompting? Explain technically.,"Self-consistency (Wang et al., 2022) samples multiple diverse CoT reasoning paths for the same question and takes a majority vote on the final answer. Accuracy improves with more samples. It exploits the fact that correct reasoning paths tend to converge on the correct answer while incorrect paths diverge."
Briefly describe what are the course prerequisites? Explain technically.,"Prerequisites: intermediate Python, basic ML concepts (loss functions, gradient descent), linear algebra (matrix operations, eigenvalues), probability and statistics (distributions, Bayes theorem, MLE)."
I need help understanding what is the curse of dimensionality and how do generative models handle it?,"In high-dimensional spaces, data becomes sparse and distances lose meaning. Generative models handle this by learning compact latent representations (VAEs, GANs) or by factorizing the distribution autoregressively (GPT), making the problem tractable."
Briefly describe what is paged AdamW? Include relevant equations or pseudocode if helpful.,"Paged AdamW (bitsandbytes) keeps optimizer states in CPU RAM and pages them to GPU only when needed. Standard AdamW stores moment tensors on GPU (2x model size). Paged AdamW reduces peak GPU memory significantly, enabling larger batch sizes. Used with QLoRA."
I need help understanding what is self-attention and how is it computed?,"Self-attention projects input X into Q=XW_Q, K=XW_K, V=XW_V. Attention(Q,K,V) = softmax(QK^T / sqrt(d_k)) V. Scaling by sqrt(d_k) prevents softmax saturation. Output is a weighted sum of values, with weights reflecting token-to-token relevance. Complexity is O(n^2 d)."
"As an AI student, explain what is a diffusion model? Provide a detailed answer.","Diffusion models (DDPM, Ho et al., 2020) define a forward process that adds Gaussian noise over T steps until x_T is approximately N(0,I), then train a neural network to reverse the process by predicting the noise at each step. Sampling involves iterative denoising. DDIM enables faster sampling."
What is meant by explain the Transformer architecture. For a Generative AI course student.,"A Transformer (Vaswani et al., 2017) replaces recurrence with attention. Components: token embedding + positional encoding, stacked encoder or decoder blocks each containing multi-head self-attention and a position-wise FFN with residual connections and LayerNorm. Encoder reads full context; decoder adds masked self-attention and cross-attention over encoder output."
"As an AI student, explain walk through LoRA fine-tuning step by step.","1. Load pretrained model with 4-bit quantization (QLoRA). 2. Define LoraConfig with r=16, alpha=32, targeting q, k, v, o projections. 3. Wrap model with get_peft_model — freezes base weights, adds LoRA matrices. 4. Tokenize dataset in chat format. 5. Train with SFTTrainer — only LoRA params (~0.4%) update. 6. Save the adapter (~50 MB vs 2 GB full model). 7. Merge or load adapter at inference."
What is meant by explain the RAG pipeline step by step. For a Generative AI course student.,"1. Ingestion: load and clean documents. 2. Chunking: split into overlapping chunks (e.g., 512 tokens, 50 overlap). 3. Embedding: encode chunks with a sentence-transformer model. 4. Storage: index in ChromaDB or FAISS. 5. Retrieval: embed the query, find top-k similar chunks via ANN. 6. Augmentation: inject retrieved chunks into the LLM prompt. 7. Generation: LLM produces a grounded answer."
What is the posterior collapse problem in VAEs? Provide a detailed answer.,"Posterior collapse occurs when the decoder ignores z and the encoder collapses to the prior (KL = 0). The model degenerates to a decoder-only model. Solutions: KL annealing (gradually increase KL weight), beta-VAE, free bits, or using a weaker decoder."
Please explain what is learning rate warm-up? Include relevant equations or pseudocode if helpful.,Learning rate warm-up gradually increases the LR from near-zero to the target LR over the first few steps. Prevents instability early in training. Common schedules: linear warm-up followed by cosine decay. Warmup of 5-10% of total steps is standard for LLM fine-tuning.
Please describe what is T5? Include relevant equations or pseudocode if helpful.,"T5 (Text-to-Text Transfer Transformer, Raffel et al., 2020) frames all NLP tasks as text-to-text. The input is a prefixed instruction and output is text. Uses encoder-decoder architecture. Trained on C4 (Colossal Clean Crawled Corpus). Unifies classification, summarization, translation, and QA in one model."
Can you explain what is dropout regularization?,"Dropout randomly sets a fraction p of neurons to zero during training, forcing the network to learn redundant representations. Acts as an ensemble of many sub-networks. Reduces overfitting on small datasets. At inference, all neurons are active and outputs are scaled by (1-p). Less commonly used in modern LLMs."
What is catastrophic forgetting in fine-tuning?,"When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
Can you explain what is the feed-forward sublayer in a Transformer? Be concise and precise.,"The position-wise FFN applies two linear layers with a non-linearity: FFN(x) = max(0, xW_1 + b_1)W_2 + b_2. Typically d_ff = 4 * d_model. Some models use SwiGLU or GEGLU activations. The FFN operates independently on each position and is responsible for memorizing factual knowledge."
Give a technical explanation of what is catastrophic forgetting in fine-tuning?,"When a model is fine-tuned on a new task, it may overwrite representations needed for old tasks. Mitigations: PEFT (original weights frozen), elastic weight consolidation (EWC), rehearsal (mixing old data), continual learning methods. LoRA avoids forgetting because base weights are not modified."
What is a Wasserstein GAN? Be concise and precise.,WGAN replaces the JS divergence with Earth Mover (Wasserstein-1) distance. The discriminator (now called critic) outputs an unbounded score. Training requires weight clipping or a gradient penalty (WGAN-GP) to enforce the Lipschitz constraint. WGAN provides a meaningful loss metric correlated with sample quality.
What is dropout regularization?,"Dropout randomly sets a fraction p of neurons to zero during training, forcing the network to learn redundant representations. Acts as an ensemble of many sub-networks. Reduces overfitting on small datasets. At inference, all neurons are active and outputs are scaled by (1-p). Less commonly used in modern LLMs."
"For a university exam, explain explain Chain-of-Thought prompting. Explain with clear definitions.","CoT prompting (Wei et al., 2022) elicits step-by-step reasoning before the final answer. Zero-shot CoT adds ""Let us think step by step."" Few-shot CoT provides worked-out reasoning examples. CoT dramatically improves multi-step arithmetic, commonsense, and symbolic reasoning. It enables models to decompose problems and check intermediate steps."
Please explain what is the softmax function?,"Softmax converts a vector of real numbers into a probability distribution: softmax(z_i) = exp(z_i) / sum_j(exp(z_j)). It ensures all outputs are positive and sum to 1. Used in classification heads, attention score normalization, and the final token prediction layer of LLMs."
What is the difference between pretraining and fine-tuning? Include relevant equations or pseudocode if helpful.,"Pretraining learns general representations from massive unlabeled corpora via self-supervised objectives (next-token prediction, masked LM). Fine-tuning adapts the pretrained model to a specific task on a smaller labeled dataset, updating all or a subset of weights. Fine-tuning is much cheaper than pretraining from scratch."
Define the following: what is a diffusion model? Include relevant equations or pseudocode if helpful.,"Diffusion models (DDPM, Ho et al., 2020) define a forward process that adds Gaussian noise over T steps until x_T is approximately N(0,I), then train a neural network to reverse the process by predicting the noise at each step. Sampling involves iterative denoising. DDIM enables faster sampling."
Give a technical explanation of what is prompt tuning? For a GenAI student.,"Prompt tuning (Lester et al., 2021) prepends a small number of trainable token embeddings to the input at the embedding layer. The rest of the model is frozen. Simpler than prefix tuning. Performance approaches full fine-tuning at large model scales (10B+ parameters)."
What is tokenization?,"Tokenization converts raw text into a sequence of integer IDs. Modern LLMs use subword tokenization: BPE (Byte-Pair Encoding, used in GPT), WordPiece (BERT), or SentencePiece (LLaMA). Subword methods balance vocabulary size with the ability to represent rare words by splitting them into common subword units."
Can you explain what is hallucination in LLMs? Be concise and precise.,"Hallucination occurs when an LLM generates plausible-sounding but factually incorrect or unsupported content. Types: intrinsic (contradicts source), extrinsic (adds info not in source). Causes: spurious correlations, overconfidence, insufficient grounding. Mitigations: RAG, RLHF, self-consistency, factuality-focused fine-tuning."
Can you explain explain Chain-of-Thought prompting. For a Generative AI course student.,"CoT prompting (Wei et al., 2022) elicits step-by-step reasoning before the final answer. Zero-shot CoT adds ""Let us think step by step."" Few-shot CoT provides worked-out reasoning examples. CoT dramatically improves multi-step arithmetic, commonsense, and symbolic reasoning. It enables models to decompose problems and check intermediate steps."
Define what is a language model? Explain with definitions.,"A language model assigns probabilities to sequences of tokens: P(w_1, w_2, ..., w_n). Modern neural language models are trained via next-token prediction: P(w_t | w_1, ..., w_{t-1}). They can generate text by sampling from the learned distribution. LLMs are very large language models trained on internet-scale data."
Can you explain what is the TRL library?,"TRL (Transformer Reinforcement Learning) is a HuggingFace library for LLM alignment. Key classes: SFTTrainer (supervised fine-tuning), RewardTrainer, PPOTrainer, DPOTrainer. Integrates with PEFT for memory-efficient training."
What tools and platforms are used in the course labs?,"Platform: Google Colab (free T4 GPU). Frameworks: HuggingFace Transformers, PEFT, TRL, Datasets. LLM access: Groq API and Ollama. Vector databases: ChromaDB and FAISS. Embeddings: sentence-transformers. Optional: Weights and Biases for experiment tracking."
Give a technical explanation of what is positional encoding?,"Since self-attention is permutation-invariant, positional encoding injects order information. Original Transformer uses fixed sinusoids: PE(pos,2i)=sin(pos/10000^(2i/d)), PE(pos,2i+1)=cos(pos/10000^(2i/d)). BERT/GPT use learned embeddings. LLaMA uses RoPE (Rotary Position Embedding), which applies rotation matrices to Q and K, enabling relative position information and length generalization."
What is Mixture of Experts?,MoE replaces the dense FFN in each Transformer block with multiple expert FFNs and a sparse routing mechanism that activates only the top-k experts per token. Increases model capacity without proportional compute increase. Mixtral-8x7B uses MoE and outperforms LLaMA-2 70B with less compute.
Please explain what is LoRA? For a Generative AI course student.,"LoRA (Hu et al., 2021) injects trainable low-rank matrices into frozen weight matrices. For W in R^(d x k), LoRA adds delta_W = BA where B is R^(d x r), A is R^(r x k), r much less than min(d,k). The forward pass computes h = Wx + BAx. Only A and B are trained. r=16 with alpha=32 is a common choice."
